name,stars,collected_at,domain
jacobwaynecolton/speculative_decoding,0,2026-09-26,Speculative Model
rakeshchinni77/speculative-decoding-simulator,0,2026-09-26,Speculative Model
HariSoftwaredeveloper/Nexus-Engine,0,2026-09-26,Speculative Model
PDiTO/tinygpt,0,2026-09-26,Speculative Model
KrakowiakK/ENGINE,0,2026-09-26,Speculative Model
shrisha108/vLLM-2080Ti-Definitive-FlashNext,0,2026-09-26,Speculative Model
Cybertiron/qwen-animation-summary,0,2026-09-26,Speculative Model
alexapp-build/MedusaDebugger,0,2026-09-26,Speculative Model
luckyluckcomp/medusa,0,2026-09-26,Speculative Model
Tejaswini1309/medusa,0,2026-09-26,Speculative Model
lunaticwithaduck/easytech3d-commerce,0,2026-09-26,Speculative Model
alejandropulido7/dtc-starter,0,2026-09-26,Speculative Model
shoniisra/medusa-system,0,2026-09-26,Speculative Model
nerkooo97/medusajs-shops,0,2026-09-26,Speculative Model
ia-hydra/dio-medusa-bruteforce-lab,0,2026-09-26,Speculative Model
onlinetrader0342-dotcom/electro-commerce,0,2026-09-26,Speculative Model
Dank0034/eagle,0,2026-09-26,Speculative Model
arnobai70-del/Engle-Global-Hub-,0,2026-09-26,Speculative Model
ToxicVGOD/Eaglercraft1,0,2026-09-26,Speculative Model
15083/EagleDocs,0,2026-09-26,Speculative Model
vexlord2011-hub/Eaglercraft,0,2026-09-26,Speculative Model
thatjamierwells-svg/eagler,0,2026-09-26,Speculative Model
davischeffel045-sys/eagler,0,2026-09-26,Speculative Model
BugeStudioTeam/Eaglercraft,0,2026-09-26,Speculative Model
BlueStevie/eagleryay,0,2026-09-26,Speculative Model
Mohking999/eagles,0,2026-09-26,Speculative Model
eaglefury/eaglefury,0,2026-09-26,Speculative Model
alexkikalo/eaglewrench,0,2026-09-26,Speculative Model
ApollonNeo/eagle-browser,0,2026-09-26,Speculative Model
dh123hofman-png/eagler-site,0,2026-09-26,Speculative Model
mprusch-star/eagle-escape,0,2026-09-26,Speculative Model
Zalecishavocwasmttaken/eaglercraft-svg,0,2026-09-26,Speculative Model
CRazY4485/eagle-eyes,0,2026-09-26,Speculative Model
haithamibrahem/dba-eagles,0,2026-09-26,Speculative Model
10Aoi21/eagler-server,0,2026-09-26,Speculative Model
DGE7050-code/eagle--.github.io,0,2026-09-26,Speculative Model
brodyfong8/Eaglercraft-26.2,0,2026-09-26,Speculative Model
rururururu12/eagler-ws-proxy,0,2026-09-26,Speculative Model
dp75313-glitch/Eaglercraft-1.12,0,2026-09-26,Speculative Model
Agency-nutsy/ii-eagles-autobody,0,2026-09-26,Speculative Model
ironeaglebd/Iron-Eagle-Smart-Rickshaw,0,2026-09-26,Speculative Model
SolverN0MG/Eaglercraft-1.12-WASM,0,2026-09-26,Speculative Model
Nicmanzel/Eaglercraft-1.21.1,0,2026-09-26,Speculative Model
Dacow-ZX/Eaglercraft_1-12-2,0,2026-09-26,Speculative Model
shoroukelbanna/Shorouk_AlexEagles_Phase2,0,2026-09-26,Speculative Model
rizwanoo/Eagle-Nest-Property-Care-Demo,0,2026-09-26,Speculative Model
fbetancourt-dev/copper-viewer,0,2026-09-26,Speculative Model
augustineiacopelli/appaday-141-court-of-honor-citation,0,2026-09-26,Speculative Model
mr-racer/rxnscribe-custom,0,2026-09-26,Speculative Model
realchendahuang/jev-playbook,0,2026-09-26,Speculative Model
FuRongJun-1999/dsh-memory,252,2026-09-26,RAG
vedats/RagSkill-Dotnet,3,2026-09-26,AI Agent
nomicsadmin/hub-agentes-ia,2,2026-09-26,RAG
iangault/product-search-rag,1,2026-09-26,RAG
suzike/juzhen-dock,1,2026-09-26,RAG
Viedin/lantrn,1,2026-09-26,RAG
Viyao691/comment-dna,1,2026-09-26,RAG
yao982/vault-mcp,1,2026-09-26,RAG
Amrutha-dev25/TechSift,1,2026-09-26,RAG
Nikhil-creat/aegis-disaster-twin,1,2026-09-26,RAG
tcdoverlord/LocalAI-Angel,1,2026-09-26,RAG
m-jana-hany/Pondr,1,2026-09-26,RAG
soodrajesh/gcp-enterprise-rag-platform,1,2026-09-26,RAG
adharyasingh1408/AI-Trinity-Engine,1,2026-09-26,RAG
JavierFrauca/accediendo-al-conocimiento,1,2026-09-26,RAG
Nikhil-creat/nexus-pdf-editor,1,2026-09-26,RAG
JahazielHernandezHoyos/openwahi,0,2026-09-26,RAG
erhatechnologiesai/pdf-rag-chatbot,0,2026-09-26,RAG
sinnercode228/docmind-rag,0,2026-09-26,RAG
XingTuLink/TruthLayer,0,2026-09-26,RAG
bqamarc/codex-knowledge-assistant-toolkit,0,2026-09-26,RAG
erhatechnologiesai/automation-platform,0,2026-09-26,AI Agent
ahmedEid1/aws-agent-engineer-notes,0,2026-09-26,RAG
PAIR-Systems-Inc/goodmem-java,0,2026-09-26,RAG
VivianaOj/AI-RAG,0,2026-09-26,RAG
GBR-RL/vlm-inspect,0,2026-09-26,Multi-modal
mahmoudnasser1561/agentcore-customer-support-agent,0,2026-09-26,RAG
pablo-navia5/Game-Collection-Manager,0,2026-09-26,RAG
jayniebingyu-cyber/goaimoat-web-scrape-mcp,0,2026-09-26,RAG
ivanmrchk/bi-engine,0,2026-09-26,RAG
PedroLazari233/talk-to-ifc,0,2026-09-26,RAG
zawsze8826/supportops-ai,0,2026-09-26,RAG
Priyansh1411/routewise,0,2026-09-26,RAG
vsonichev/ai-scenario-generator,0,2026-09-26,RAG
nikitaserbakov351-dotcom/logdoc-ai,0,2026-09-26,RAG
Shreya-bristi/flight-delay-rag,0,2026-09-26,RAG
marcosferreiracabral/marcosferreiracabral,0,2026-09-26,RAG
Nitesh-kelwani/azure-rag-pipeline,0,2026-09-26,RAG
viames/governed-ai-agent-blueprint,0,2026-09-26,RAG
naufalhilmiaji/sooth,0,2026-09-26,RAG
VitaPilot-AI/retrievalcheck,0,2026-09-26,RAG
colombefioren/NUGGET--FRONTEND,0,2026-09-26,RAG
jayyyyqwq/maintainops,0,2026-09-26,RAG
joelengio/infinite-knowledge-ai,0,2026-09-26,RAG
XL0631/fastapi-doc-rag,0,2026-09-26,RAG
xhighhongo41/crawl4tools,0,2026-09-26,RAG
ArezoShakeri/neurorag,0,2026-09-26,RAG
AdityaMalik5/Local-RAG-Document-Chatbot,0,2026-09-26,RAG
1229039814/tunnel-multimodal-rag,0,2026-09-26,Multi-modal
smurilloo/enterprise-rag-platform,0,2026-09-26,RAG
mobintmu/mobin-ai-backend,0,2026-09-26,RAG
tertiarycourses/C989-Codex-Masterclass,0,2026-09-26,RAG
