name,stars,collected_at,domain
HENK0O/baguette-SpecDec,0,2026-09-23,Speculative Model
BenedictBen/edge-slm-speculative-decoding,0,2026-09-23,Speculative Model
anon761/freetoken,2,2026-09-23,Speculative Model
ph1-utkarsh/helix-runtime,0,2026-09-23,Speculative Model
weifanjiang/h-spec,0,2026-09-23,Speculative Model
shaunak2202/specheads,0,2026-09-23,Speculative Model
stihahi/glm53-flash-nvfp4-mtp-2x-dgx-spark,0,2026-09-23,Speculative Model
jajmangold/superl8-serve,0,2026-09-23,Speculative Model
Indras-Mirror/tbq4-vllm,0,2026-09-23,Long Context
Tristan156/safespec-raise,0,2026-09-23,Long Context
TheLoomLabs/pi-unsloth,1,2026-09-23,Speculative Model
ThatzOkay/MedusaApp,0,2026-09-23,Speculative Model
perlmine1/MedusaAiGen,0,2026-09-23,Speculative Model
nagarajanshenll/medusa,0,2026-09-23,Speculative Model
Jcampos10/portfolio_MEDUSA,0,2026-09-23,Speculative Model
Carlos-CMP/medusa-training-back,0,2026-09-23,Speculative Model
shubashbiswas/medusa-plugin-borderpass,0,2026-09-23,Speculative Model
kimakius-ampli/amplitude-instrumentation-demo,0,2026-09-23,Speculative Model
wxeeyy99/bjj,0,2026-09-23,Speculative Model
LeedlerGuy/EaglercraftUnblocked,0,2026-09-23,Speculative Model
MattTheEagle/EagleEye,0,2026-09-23,Speculative Model
Deckard-YYZ/EagleWorldSetting,0,2026-09-23,Speculative Model
awaisahmad6059/Hacker-EagleEye,0,2026-09-23,Speculative Model
eagleAsaf1979/eagleAsaf1979,0,2026-09-23,Speculative Model
jnguyen2033/wss-server,0,2026-09-23,Speculative Model
jauderho/flae,0,2026-09-23,Speculative Model
GreenGru2/Eaglercraft1.12.2,0,2026-09-23,Speculative Model
crisabani2017-dot/novidades-versao,0,2026-09-23,Speculative Model
sayid31/eagleeye,0,2026-09-23,Speculative Model
lukasbonthy/Eaglet,0,2026-09-23,Speculative Model
yennerrodriguez-jpg/eaglecraft,0,2026-09-23,Speculative Model
paryes/eagler,0,2026-09-23,Speculative Model
offzengo-source/eagle-brand,0,2026-09-23,Speculative Model
AlekseyHorjakov/SteelEagles,0,2026-09-23,Speculative Model
ndirmn3/Eaglercraft-Clients,0,2026-09-23,Speculative Model
nextaaroh/golden-eagle,0,2026-09-23,Speculative Model
jalalmusa121g-arch/eagle-autos,0,2026-09-23,Speculative Model
nextaaroh/golden-eagle-,0,2026-09-23,Speculative Model
MattTheEagle/Eagle-Library,0,2026-09-23,Speculative Model
ra-oe/varyx-eagler,0,2026-09-23,Speculative Model
